name,price,link
"
Acer Aspire 5 A514-53 Silver NX.HUSEL.001
","550,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Notebook Dell Inspiron 15 3593 Silver
","594,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Inspiron 15 3593 Black 3593-5007
","678,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Acer Aspire 5 A514-53 Silver NX.HUSEL.004
","641,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Precision 3540 Black N019P3540EMEA
","1.145,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Acer Swift 5 SF514-54T White NX.HLGEL.004
","860,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell XPS 15 7590 Silver 7590-8506
","1.764,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Vostro 3590 Black i5 8/256GB R610 DVD ENG/RUS Ubu
","623,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Asus ZenBook 13 UX333FAC-A3106T Royal Blue
","814,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Vostro 5490 Grey 5490-275579
","753,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkPad T490s Black 20NX007XMH
","1.699,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
HP EliteBook x360 1040 G6 7KN39EA#B1R
","2.059,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Inspiron 17 3793 Black 3793-2942
","842,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Asus VivoBook 15 X509JA-BQ041T
","749,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
